path,section,current_ui_tab,current_ui_group,current_ui_order,proposed_level,proposed_tab,proposed_group,active_when,required_in_modes,required_when,enum,default,runtime_consumers,description
training.dataloader_persistent_workers,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,false|true,True,src/application/use_cases/trainer.py; tools/experiment_ui.py,"Якщо true, воркери не перезапускаються між епохами (працює лише коли workers > 0)."
training.dataloader_pin_memory,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,false|true,False,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,"Якщо true, батчі фіксуються в pinned RAM для швидшої передачі на GPU."
training.dataloader_prefetch_factor,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,2,src/application/use_cases/trainer.py; tools/experiment_ui.py,Скільки майбутніх батчів наперед готує кожен воркер (працює лише коли workers > 0).
training.delta,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/services/instance_graph_assembler_service.py; src/application/use_cases/trainer.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py; tools/graph_cache_cleaner.py; tools/simulate_versioned_log.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/visualize_graph.py,Training loop hyperparameter.
training.device,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/services/topology_conditioned_learning.py; src/application/services/topology_payload_pool.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/models/baseline_gat.py; src/domain/models/baseline_gcn.py; src/domain/models/eopkg_models.py; src/tools/inspect_data.py; tools/experiment_ui.py,Training loop hyperparameter.
training.dynamic_candidate_contract_enabled,training,general,advanced,1014,advanced,general,advanced,always,,model.type=EOPKGTopologyConditioned,false|true,false,,Use model.forward_candidate() for EOPKGTopologyConditioned and train/evaluate through topology-local candidate logits projected back to fixed labels for compatibility.
training.ece_bins,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Training loop hyperparameter.
training.epochs,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py,Training loop hyperparameter.
training.learning_rate,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Training loop hyperparameter.
training.learning_strategy,training,general,advanced,1013,experiment_run,Experiment Run,Frequently Changed,always,,,standard|topology_conditioned,standard,src/application/services/learning_strategy_config.py; src/application/use_cases/trainer.py,Trainer-level methodology. standard preserves current behavior; topology_conditioned adds train-time topology dependency objectives.
training.loss_function,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Training loop hyperparameter.
training.mask_guided_apply_in_eval,training,general,core,7,experiment_run,Experiment Run,Training Objective,always,,,false|true,true,src/application/use_cases/trainer.py,Apply mask-guided logits policy during eval/eval_drift inference.
training.mask_guided_hard_threshold,training,general,core,8,experiment_run,Experiment Run,Training Objective,always,,,,1.0,src/application/use_cases/trainer.py,Use hard masking when estimated target_in_mask_rate is at or above this threshold.
training.mask_guided_min_samples_for_hard,training,general,advanced,1000,experiment_run,Experiment Run,Training Objective,always,,,,1,src/application/use_cases/trainer.py,Minimum observed samples before enabling hard masking from reliability estimate.
training.mask_guided_soft_penalty,training,general,core,9,experiment_run,Experiment Run,Training Objective,always,,,,2.0,src/application/use_cases/trainer.py,Logit penalty applied to disallowed classes in soft mode.
training.patience,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Training loop hyperparameter.
training.retrain,training,legacy,deprecated,9999,experiment_run,Experiment Run,Frequently Changed,always,,,false|true,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Training loop hyperparameter.
training.show_progress,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/sync_stats.py,Training loop hyperparameter.
training.struct_xattn_contrastive_enabled,training,general,advanced,1004,advanced,Advanced,Conditional Fine Tune,always,,model.fusion_mode=StructXAttn,false|true,false,src/application/services/learning_strategy_config.py; src/application/use_cases/trainer.py,Enable correct-vs-corrupted topology loss for StructXAttn.
training.struct_xattn_contrastive_margin,training,general,advanced,1006,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,0.05,src/application/use_cases/trainer.py,Required CE advantage of correct topology over corrupted topology.
training.struct_xattn_contrastive_max_loss,training,general,advanced,1008,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,0.5,src/application/use_cases/trainer.py,Upper clamp for one-batch contrastive loss before weighting.
training.struct_xattn_contrastive_temperature,training,general,advanced,1007,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,0.1,src/application/use_cases/trainer.py,Softplus temperature for smoothed contrastive margin.
training.struct_xattn_contrastive_warmup_epochs,training,general,advanced,1009,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,3,src/application/use_cases/trainer.py,Number of initial epochs before enabling corrupted-topology forward.
training.struct_xattn_contrastive_weight,training,general,advanced,1005,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,0.03,src/application/use_cases/trainer.py,Weight for smoothed correct-vs-corrupted topology contrastive loss.
training.struct_xattn_corruption_edge_drop_prob,training,general,advanced,1011,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true; training.struct_xattn_corruption_policy=edge_drop,,0.15,src/application/use_cases/trainer.py,Probability of dropping each structural edge in the corrupted topology view.
training.struct_xattn_corruption_feature_noise_std,training,general,advanced,1012,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,,0.0,src/application/use_cases/trainer.py,Gaussian noise std added to struct_x in the corrupted topology view.
training.struct_xattn_corruption_policy,training,general,advanced,1010,advanced,Advanced,Conditional Fine Tune,always,,training.struct_xattn_contrastive_enabled=true,none|edge_drop|feature_noise|edge_drop_plus_feature_noise,edge_drop,src/application/use_cases/trainer.py,Tensor-level structural corruption used as the negative topology view.
training.structural_aux_exact_loss_weight,training,general,advanced,1003,experiment_run,Experiment Run,Training Objective,always,,training.structural_aux_loss_enabled=true,,0.01,src/application/use_cases/trainer.py,Small exact CE component for structural logits.
training.structural_aux_loss_enabled,training,general,advanced,1001,experiment_run,Experiment Run,Training Objective,always,,model.fusion_mode=ClassAwareStructuralScoring,false|true,false,src/application/use_cases/trainer.py,Enable auxiliary loss on class-aware structural logits.
training.structural_aux_loss_weight,training,general,advanced,1002,experiment_run,Experiment Run,Training Objective,always,,training.structural_aux_loss_enabled=true,,0.05,src/application/use_cases/trainer.py,Weight for set-aware CE over allowed target candidates using structural logits.
training.topology_conditioning_allowed_set_loss_enabled,training,general,advanced,1021,experiment_run,Experiment Run,Learning Strategy,always,,training.learning_strategy=topology_conditioned,false|true,true,src/application/services/learning_strategy_config.py; src/application/use_cases/trainer.py,Enable train-time topology consistency loss over allowed target candidates.
training.topology_conditioning_allowed_set_loss_weight,training,general,advanced,1022,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_allowed_set_loss_enabled=true,,0.05,src/application/services/learning_strategy_config.py,Weight for topology allowed-set loss.
training.topology_conditioning_current_version_policy,training,general,advanced,1025,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,latest_in_train,latest_in_train,src/application/services/learning_strategy_config.py,Rule for identifying the current/latest seen version in retention weighting.
training.topology_conditioning_drop_edges_margin,training,general,advanced,1019,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_drop_edges_negative_enabled=true,,0.1,src/application/services/learning_strategy_config.py,Required CE gap between correct topology and dropped-edge topology.
training.topology_conditioning_drop_edges_negative_enabled,training,general,advanced,1017,experiment_run,Experiment Run,Learning Strategy,always,,training.learning_strategy=topology_conditioned,false|true,true,src/application/services/learning_strategy_config.py,Enable same-version physically dropped structural edge negative loss.
training.topology_conditioning_drop_edges_negative_weight,training,general,advanced,1018,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_drop_edges_negative_enabled=true,,0.05,src/application/services/learning_strategy_config.py,Weight for same-version dropped-edge topology negative margin loss.
training.topology_conditioning_drop_edges_ratio,training,general,advanced,1020,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_drop_edges_negative_enabled=true,,0.15,src/application/services/learning_strategy_config.py,Fraction of structural edges physically removed in the negative topology view.
training.topology_conditioning_retention_enabled,training,general,advanced,1023,experiment_run,Experiment Run,Learning Strategy,always,,training.learning_strategy=topology_conditioned,false|true,true,src/application/services/learning_strategy_config.py,Enable version-weighted CE/rehearsal for already seen versions.
training.topology_conditioning_retention_obsolete_weight,training,general,advanced,1029,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,,0.0,src/application/services/learning_strategy_config.py,Reserved weight for versions considered obsolete by future policies.
training.topology_conditioning_retention_old_weight,training,general,advanced,1028,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,,0.15,src/application/services/learning_strategy_config.py,Sample weight for older seen versions outside the recent window.
training.topology_conditioning_retention_policy,training,general,advanced,1024,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,version_decay,version_decay,src/application/services/learning_strategy_config.py,Policy for per-version retention sample weights.
training.topology_conditioning_retention_recent_versions,training,general,advanced,1026,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,,1,src/application/services/learning_strategy_config.py,Number of previous versions treated as recent for retention weighting.
training.topology_conditioning_retention_recent_weight,training,general,advanced,1027,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_retention_enabled=true,,0.5,src/application/services/learning_strategy_config.py,Sample weight for recent previous versions.
training.topology_conditioning_wrong_version_margin,training,general,advanced,1016,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_wrong_version_negative_enabled=true,,0.2,src/application/services/learning_strategy_config.py,Required CE gap between correct topology and wrong known-version topology.
training.topology_conditioning_wrong_version_negative_enabled,training,general,advanced,1014,experiment_run,Experiment Run,Learning Strategy,always,,training.learning_strategy=topology_conditioned,false|true,true,src/application/services/learning_strategy_config.py,Enable known wrong-version topology negative loss for topology_conditioned learning.
training.topology_conditioning_wrong_version_negative_weight,training,general,advanced,1015,experiment_run,Experiment Run,Learning Strategy,always,,training.topology_conditioning_wrong_version_negative_enabled=true,,0.1,src/application/services/learning_strategy_config.py,Weight for wrong-version topology negative margin loss.
training.topology_flow_penalty_enabled,training,general,advanced,1023,advanced,general,advanced,always,,training.candidate_contract_mode=candidate_id,false|true,false,,Enable candidate-level topology-flow penalty for candidate_id training. Uses topology-local candidates projected from the current allowed_target_mask.
training.topology_flow_penalty_fail_on_missing_mask,training,general,advanced,1027,advanced,general,advanced,always,,training.topology_flow_penalty_enabled=true,false|true,true,,Fail candidate_id training when topology_flow_penalty_enabled but allowed_target_mask is missing.
training.topology_flow_penalty_margin,training,general,advanced,1026,advanced,general,advanced,always,,training.topology_flow_penalty_type=margin,,0.1,,Margin used when topology_flow_penalty_type=margin.
training.topology_flow_penalty_type,training,general,advanced,1025,advanced,general,advanced,always,,training.topology_flow_penalty_enabled=true,invalid_probability_mass|margin,invalid_probability_mass,,Penalty objective for invalid topology-flow candidates. invalid_probability_mass is bounded and stable; margin enforces invalid logits below valid logits.
training.topology_flow_penalty_weight,training,general,advanced,1024,advanced,general,advanced,always,,training.topology_flow_penalty_enabled=true,,0.0,,Weight for candidate-level topology-flow penalty.
training.torch_num_interop_threads,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/cli.py; tools/experiment_ui.py,Кількість inter-op потоків PyTorch для паралелізації між операціями. Порожнє значення = системний дефолт.
training.torch_num_threads,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/cli.py; tools/experiment_ui.py,Обмеження для кількості внутрішніх CPU потоків PyTorch (intra-op). Порожнє значення = системний дефолт.
training.tqdm_disable,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Training loop hyperparameter.
training.tqdm_leave,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; tools/experiment_ui.py,Training loop hyperparameter.
